Environment_State,Opponent_Strategy,NPC_Action_Type,Sensory_Input_Level,Decision_Time,Policy_Confidence,Reward_Score,Human_Likeness_Score,Behavioral_Diversity
Stealth,Defensive,Hide,0.4954521034609818,1.6289747161863466,0.25393777192369615,59,0.8374495950834618,0.522709454067601
Combat,Balanced,Explore,0.3863489098483155,1.2363890595863287,0.7799883269105443,98,0.3229896831768684,0.023591967780795864
Calm,Aggressive,Communicate,0.45012443241975963,2.0114299169616268,0.09873720688266585,61,0.8890121901109594,0.41373289758032983
Stealth,Aggressive,Attack,0.22696469436536415,0.4157906105450133,0.07566110390411085,29,0.1606336126185507,0.29924841926016044
Stealth,Aggressive,Communicate,0.8893909161288442,1.9459620755847278,0.36154139875403857,92,0.17302386975116435,0.7481056678874892
Combat,Aggressive,Attack,0.4506196567297579,1.5448844014478917,0.09216795847243231,21,0.2667720636239239,0.20827767515354578
Calm,Random,Defend,0.8824594404560998,1.2793548029958912,0.5850784422062031,74,0.11953086954707781,0.20522008729407182
Calm,Aggressive,Attack,0.10569347990627409,2.8637580614188076,0.22627525081659983,83,0.23031922468287758,0.18951904323737678
Stealth,Random,Hide,0.9882752710001314,1.6153651785229544,0.8956979631993723,28,0.1064117629028446,0.12561561315623593
Chaotic,Random,Explore,0.44327308744361826,0.7354406904628213,0.7835000808452567,40,0.8217524169853904,0.3110070036708874
Stealth,Aggressive,Defend,0.04783082039410547,1.430994090194166,0.6997052060994762,41,0.1389689918866246,0.8859221144434251
Stealth,Aggressive,Attack,0.038021848237454914,2.7662234732607507,0.6169440273845019,97,0.7472975575598568,0.774928472305955
Stealth,Defensive,Communicate,0.7462072574818386,0.6106768668587245,0.8634657303414633,64,0.04791386791333374,0.7352512163067935
Stealth,Balanced,Defend,0.6590355342036808,0.720475412195887,0.22306206154275687,30,0.9485203275139151,0.7973368056499627
Combat,Aggressive,Defend,0.8021305581275875,0.13778574649554287,0.8731088427642276,29,0.7111600875277662,0.26941788932957167
Calm,Defensive,Attack,0.10536753395280596,0.14115114324772482,0.7894922984240523,17,0.006796548586111784,0.8874416907524878
Combat,Defensive,Defend,0.03557086703554835,2.5052357181796863,0.7481608263876856,16,0.763856500200214,0.1373033751416044
Combat,Balanced,Communicate,0.5085792894475785,2.223155559844572,0.561255678074924,37,0.5140819207661853,0.33634572671558194
Combat,Random,Defend,0.38759523148276953,1.129619063710679,0.2462441609706001,13,0.7793651703351198,0.5867481189673429
Stealth,Aggressive,Communicate,0.46194693667095577,2.125102355959961,0.42354791599189634,86,0.5224968088905885,0.10290508834200063
Chaotic,Balanced,Attack,0.991588408870274,1.2460971862989136,0.7935706545388016,88,0.6410248576353547,0.7301301877764249
Calm,Aggressive,Explore,0.9707499576706702,2.8634007083936996,0.031778484357324444,78,0.7863316553950405,0.38724604820347497
Chaotic,Defensive,Defend,0.9423153896731928,2.9044527761355012,0.7820507692637583,55,0.4051080545878567,0.7844056656084001
Combat,Defensive,Explore,0.7838426767676738,1.2391019498470959,0.2400707404875665,21,0.002708149820452088,0.49289628558460274
Combat,Random,Communicate,0.3548413602568904,2.577243528388517,0.14430920072160303,66,0.8499464959451885,0.18087452442533636
Chaotic,Defensive,Defend,0.4121309302627716,2.3419582209226517,0.11570131818030216,55,0.3808903626246626,0.7347618113553444
Chaotic,Defensive,Hide,0.5496160437189245,0.9989998177981889,0.027250011950815112,18,0.49604272601658306,0.25214395583894356
Chaotic,Balanced,Explore,0.8305344564048399,0.7729155038132073,0.5235864852214529,56,0.007766642153968717,0.4908103012680428
Combat,Aggressive,Defend,0.06871283251826776,1.4288804861392181,0.21825987269372948,43,0.492092010350098,0.07553326915690761
Combat,Aggressive,Explore,0.4242968858848881,2.365911637781778,0.9894317657796315,97,0.9864874015717295,0.6178666544120367
